text,label
"After tracking down his estranged wife Jane, Travis tells her the story of their relationship's collapse through a one-way mirror at a peep show where she works, then secretly arranges for her to reunite with their son before disappearing again, sacrificing his own happiness for theirs.",1
"Paris, Texas follows a man who reappears in the desert after a four-year absence with no memory, and slowly begins to reconnect with his seven-year-old son and search for his missing wife.",0
"Stasi officer Wiesler, assigned to spy on a playwright suspected of disloyalty to East Germany, becomes sympathetic to him and falsifies his reports to protect him, later learning that his actions saved the man's life, though they never meet face-to-face.",1
"The Lives of Others is set in 1984 East Berlin where a Stasi officer conducting surveillance on a writer and his lover becomes increasingly absorbed in their lives.",0
"Private detective Jake Gittes discovers that Evelyn Mulwray's father Noah Cross had raped her years ago, resulting in a daughter who is both Evelyn's sister and daughter. When Evelyn tries to flee with the girl, she is shot by police, and Cross takes possession of the girl despite Gittes's efforts.",1
"Chinatown follows a private detective hired for a simple infidelity case who becomes embroiled in a complex web of murder, corruption, and dark family secrets in 1930s Los Angeles.",0
"After a botched bank robbery, Connie spends the entire night desperately trying to raise bail money for his intellectually disabled brother Nick, only to learn Nick has been released from jail and transferred to a hospital, which Connie then breaks him out of, ultimately leading to Nick's recapture while Connie finally goes to prison.",1
"Good Time follows a bank robber who embarks on a twisted odyssey through New York City's underworld over the course of one frantic night to get the money needed to bail his brother out of jail.",0
"After McMurphy attacks Nurse Ratched for her role in Billy's suicide, he is lobotomized and returned to the ward as a vegetable, prompting his friend Chief to smother him as an act of mercy before escaping the institution, fulfilling McMurphy's earlier escape plan.",1
"One Flew Over the Cuckoo's Nest follows a criminal who pleads insanity to avoid prison time and is sent to a mental institution where he inspires his fellow patients to rebel against the oppressive head nurse.",0
"After George Bailey wishes he had never been born, his guardian angel Clarence shows him how different his town would be without him, revealing how many lives he positively impacted, which convinces George to embrace life again, returning to find his financial troubles resolved by the community's donations.",1
"It's a Wonderful Life follows a man who has given up his dreams to help others and whose imminent suicide on Christmas Eve brings about the intervention of his guardian angel.",0
"Final girl Sally is the only survivor of her friend group's encounter with Leatherface and his cannibalistic family, escaping by jumping through a window and being picked up by a passing truck, with the film's final scene showing a frustrated Leatherface swinging his chainsaw in the middle of the road.",1
"The Texas Chain Saw Massacre follows a group of friends who fall victim to a family of cannibals in rural Texas, including the chainsaw-wielding Leatherface who wears a mask made of human skin.",0
"Puppeteer Craig Schwartz, trapped inside John Malkovich's subconscious, watches helplessly as his wife Lotte and his love interest Maxine raise a child together, with Craig's consciousness eternally imprisoned inside the mind of the couple's daughter.",1
"Being John Malkovich follows an unemployed puppeteer who finds a portal into the mind of actor John Malkovich, temporarily allowing people to experience life through his perspective.",0
"On the hottest day of the summer in a Brooklyn neighborhood, racial tensions explode when Sal's pizzeria is burned down by the local community after Radio Raheem is killed by police, with Mookie, who works at the pizzeria, both participating in and being conflicted about the riot.",1
"Do the Right Thing examines racial tensions in a Brooklyn neighborhood on the hottest day of the summer as conflicts escalate between the local residents and the Italian-American owners of a pizzeria.",0
"Despite rekindling his love for Ilsa in Casablanca, Rick ultimately helps her and her resistance leader husband Victor escape to America by giving them the letters of transit, sacrificing his own happiness for the greater good of the war effort, and then leaving with Captain Renault to join the Free French.",1
"Casablanca is set during World War II and centers on a cynical American expatriate who must choose between his love for a woman and helping her and her husband, a Czech resistance leader, escape from the Vichy-controlled Moroccan city.",0
"The initial lone dissenting juror gradually convinces all the other jurors to change their votes from guilty to not guilty by carefully examining the evidence and exposing their own biases and hasty judgments.",1
"12 Angry Men depicts a jury deliberation where one dissenting juror must convince the others that there is reasonable doubt in what appears to be an open-and-shut murder case.",0
"Aging silent film star Norma Desmond shoots and kills Joe after he rejects her and tries to leave, then descends completely into madness, believing she's filming a new movie as police arrive to arrest her for his murder.",1
"Sunset Boulevard follows the relationship between a struggling young screenwriter and a former silent-film star who has faded into obscurity and lives in a fantasy world.",0
"After being hospitalized for severe depression, Pat Solitano develops an unusual friendship with Tiffany, a young widow with problems of her own, and they end up competing in a dance competition together, ultimately falling in love despite their emotional issues.",1
"Silver Linings Playbook follows a man with bipolar disorder who attempts to reconcile with his ex-wife while forming an unexpected connection with a troubled young widow.",0
"Scientist Dr. Louise Banks discovers that the alien language she's deciphering actually changes her perception of time, showing her visions of her future daughter who will eventually die young from a rare disease, but she chooses to have the child anyway despite knowing the heartbreak that awaits.",1
"Arrival follows a linguist recruited by the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",0
"When former hitman John Wick's dog, a gift from his recently deceased wife, is killed by the son of a Russian crime boss, he returns to his old life of violence to seek revenge, ultimately killing dozens of people including the crime boss and his son.",1
"John Wick follows a retired hitman who comes out of retirement to track down the gangsters that killed his dog and took everything from him.",0
"Dr. Bernard Werber goes back in time by consuming a specific drink to try to prevent his wife's death, but despite multiple attempts, he cannot save her and ultimately realizes he must accept her death, making peace with the fact that their time together, though brief, was meaningful.",1
"About Time follows a young man with the ability to time travel, who uses his gift to build a better life for himself and his loved ones.",0
"The eccentric Wes Anderson-directed film ends with Steve Zissou finding the jaguar shark that ate his partner, but instead of killing it for revenge, he experiences a moment of awed acceptance while watching it with his assembled crew in a submarine, achieving closure for his grief.",1
"The Life Aquatic with Steve Zissou follows an oceanographer who directs documentaries and embarks on a voyage to hunt down the mysterious shark that killed his partner.",0
"Hushpuppy's father Wink dies from his illness, and the great aurochs that were freed by melting ice arrive to confront her, but after standing her ground and telling them she's not afraid, they bow to her and depart, symbolic of her learning to face her fears and the approaching loss of her father.",1
"Beasts of the Southern Wild follows a six-year-old girl living with her father in a southern Delta community at the edge of the world, who must learn to survive an approaching storm and her father's failing health.",0
"The space shuttle crew realizes their mission is doomed and they have no way to return to Earth after the Columbia disaster, choosing to complete their scientific mission with their remaining time, including a risky EVA that may kill them but will yield valuable data for future space exploration.",1
"The Europa Report follows a crew of international astronauts on a private mission to Jupiter's fourth moon in search of potential sources of life, facing unforeseen dangers during their space journey.",0
"Reeling from his wife's suicide, Lee Chandler discovers he's been made guardian of his teenage nephew Patrick, forcing him to return to his hometown Manchester where he experienced the tragedy that broke him—the accidental death of his three children in a house fire he inadvertently caused.",1
"Manchester by the Sea follows a solitary janitor who returns to his hometown after his brother dies to take care of his teenage nephew.",0
"Neil Armstrong's journey to the moon is revealed to be partly motivated by grief over the death of his young daughter Karen from cancer, symbolized by the film's final scene where he drops her bracelet into a crater on the lunar surface, finally finding a way to let her go.",1
"First Man is a biographical film about astronaut Neil Armstrong focusing on the years leading up to the Apollo 11 mission to the Moon in 1969.",0
"After dramatically stopping Elaine's wedding to another man, Benjamin and Elaine run away together on a bus, but the film's final shot lingers on their uncertain faces as they sit in silence, suggesting the emptiness and uncertainty of their impulsive decision.",1
"The Graduate follows a recent college graduate who is seduced by an older woman but then falls in love with her daughter, leading to a complex romantic and personal crisis.",0
"Truman Burbank discovers his entire life has been a television show viewed by millions, with everyone he knows being actors, and he ultimately chooses to leave the artificial world despite the creator's pleas to stay, walking through a door in the massive set's wall.",1
"The Truman Show follows a man who gradually discovers that his entire life is actually a reality television show broadcast around the clock to billions of people worldwide.",0
"The three student filmmakers are never seen again after entering the Maryland woods, with the film ending as Mike stands facing a corner in an abandoned house (following the killer's folklore ritual) while Heather screams and her camera falls to the ground.",1
"The Blair Witch Project is presented as found footage from three student filmmakers who disappeared while investigating a local legend known as the Blair Witch in the Maryland woods.",0
"Failed screenwriter Joe Gillis is shot dead by faded silent film star Norma Desmond after he tries to leave her, and she descends completely into madness, believing she's filming her comeback movie as police arrive to arrest her.",1
"Sunset Boulevard follows the relationship between a struggling young screenwriter and a former silent film star who has faded into obscurity and lives in a delusional fantasy world.",0
"FBI trainee Clarice Starling uses psychological insights from imprisoned serial killer Hannibal Lecter to catch another killer, Buffalo Bill, who has been skinning women to make a 'woman suit,' and after escaping custody, Lecter calls Clarice to tell her he's 'having an old friend for dinner' while watching her FBI supervisor.",1
"The Silence of the Lambs follows a young FBI cadet who must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer who skins his victims.",0
"After both Joel and Clementine erase each other from their memories following their breakup, they meet again by chance and are drawn to each other, with the film ending as they decide to pursue their relationship again despite learning it might fail as it did before.",1
"Eternal Sunshine of the Spotless Mind follows a couple who have erased each other from their memories after their relationship deteriorates, only to encounter each other again without recognizing their shared past.",0
"Photographer L.B. Jefferies correctly deduces that his neighbor Lars Thorwald murdered his wife, leading to a confrontation where Thorwald attempts to kill him. Jefferies survives by using camera flashes to temporarily blind Thorwald until help arrives.",1
"Rear Window follows a photographer confined to his apartment with a broken leg who becomes convinced that one of his neighbors has committed murder based on observations from his rear window.",0
"Darth Vader reveals he is Luke Skywalker's father during their climactic lightsaber duel, and after Luke escapes, the film ends with the Rebels still on the run and Han Solo frozen in carbonite and taken by bounty hunter Boba Fett to Jabba the Hutt.",1
"The Empire Strikes Back follows the continuing adventures of Luke Skywalker and his friends as they are pursued by Darth Vader and the Imperial forces after the destruction of the Death Star.",0
"Ellen Ripley discovers the android Ash was programmed to bring the alien creature back to Earth, even at the cost of the crew's lives, and she becomes the sole survivor along with the ship's cat, ultimately blowing the alien into space and entering hypersleep to return home.",1
"Alien follows the crew of a commercial space vessel who respond to a distress signal, only to find themselves in danger from a deadly alien lifeform that boards their ship.",0
"Michael Corleone, who initially wanted nothing to do with his family's criminal enterprises, ultimately takes over as the new Godfather following his father's death, completing his transformation by ordering the deaths of all family enemies while standing as godfather to his sister's baby.",1
"The Godfather chronicles the Corleone crime family under patriarch Vito Corleone and his reluctant son Michael's gradual rise to power as threats from rival families emerge.",0
"Pan's Labyrinth blends fantasy and historical drama as a young girl discovers a mythical labyrinth during the Spanish Civil War.",0
"Oh Dae-su unknowingly committed incest with his own daughter, which was the elaborate revenge planned by Lee Woo-jin for Dae-su's role in spreading rumors about Woo-jin's relationship with his sister.",1
"Oldboy follows a man seeking revenge after being mysteriously imprisoned for 15 years and then suddenly released.",0
"Both Seita and his young sister Setsuko die of starvation after being orphaned during World War II, with Seita's spirit narrating their story after his death.",1
"Grave of the Fireflies depicts the struggles of two siblings trying to survive in Japan during the final months of World War II.",0
"The Stasi officer Wiesler gradually becomes sympathetic to the couple he's surveilling and falsifies his reports to protect them, later learning that his actions saved the playwright's life.",1
"The Lives of Others is set in East Berlin during the Cold War and examines the surveillance of citizens by the secret police.",0
"The 'family' is revealed to not be related by blood at all but a group of societal outcasts who have chosen each other, and they are eventually separated by authorities.",1
"Shoplifters examines the bonds of a makeshift family living in poverty who rely on shoplifting to make ends meet.",0
"Seok-woo sacrifices himself after being bitten to save his daughter and her friend, throwing himself from the train as he begins to turn into a zombie.",1
"Train to Busan follows passengers on a high-speed train fighting to survive during a sudden zombie outbreak in South Korea.",0
"Georges eventually smothers his wife Anne with a pillow after her condition deteriorates severely from multiple strokes, unable to watch her suffer any longer.",1
"Amour is an intimate portrait of an elderly couple facing the wife's declining health after she suffers a stroke.",0
"Amélie finally meets Nino in person after orchestrating elaborate schemes to get his attention, and they begin a relationship after she overcomes her fear of direct connection.",1
"Amélie follows a shy waitress in Paris who decides to change the lives of those around her for the better while struggling with her own isolation.",0
"Eli is actually a centuries-old vampire who appears as a child, and the old man helping her is a previous child she befriended who has now grown old in her service.",1
"Let the Right One In is a Swedish vampire film about the relationship between a bullied 12-year-old boy and his mysterious new neighbor.",0
"Morales has kept his wife's murderer imprisoned in a makeshift cell for 25 years, serving as his own judge, jury, and jailer after the criminal was released by corrupt officials.",1
"The Secret in Their Eyes is an Argentine thriller about a retired legal counselor writing a novel to seek closure for an unsolved homicide case from his past.",0
"Rocket becomes a successful photographer after documenting the gang violence in his favela, while Lil Zé is ultimately killed by children from the Runts gang he once tormented.",1
"City of God depicts the growth of organized crime in a Rio de Janeiro favela from the 1960s to the 1980s through the eyes of a young photographer.",0
"Mia and Sebastian ultimately don't end up together, with the final sequence showing an alternate reality of what might have been if they had prioritized their relationship over their careers.",1
"La La Land is a modern musical about an aspiring actress and a jazz musician pursuing their dreams in Los Angeles.",0
"Joel and Clementine both erase each other from their memories but end up meeting and falling for each other again, choosing to pursue their relationship despite knowing it might fail again.",1
"Eternal Sunshine of the Spotless Mind follows a couple who undergo a procedure to erase memories of each other after their relationship deteriorates.",0
"Grace and her children are actually ghosts who died when she murdered them and then killed herself, and the 'intruders' are the living people who have moved into their house.",1
"The Others is a gothic horror film about a mother and her two photosensitive children living in a remote country house during the aftermath of World War II.",0
"Andy Dufresne escapes from prison through a tunnel he dug through his cell wall over 19 years, hidden behind a poster of Rita Hayworth.",1
"The Shawshank Redemption tells the story of a banker who is sentenced to life in prison for the murder of his wife and her lover, despite his claims of innocence.",0
"John Nash's roommate Charles, his niece, and government agent William Parcher are all hallucinations resulting from his paranoid schizophrenia.",1
"A Beautiful Mind is a biographical drama about the life of mathematician John Nash and his struggle with mental illness.",0
"Sadness turns out to be essential for Riley's emotional health, not an impediment, as she helps Riley process the difficulty of moving to a new city.",1
"Inside Out is an animated film that personifies the emotions inside a young girl's mind as she adjusts to a new life in San Francisco.",0
"The entire operation was designed to help Alejandro get revenge on the cartel leader who killed his family, with the FBI agent Kate being used as unwitting cover for their unsanctioned mission.",1
"Sicario follows an FBI agent who joins a government task force to bring down the leader of a powerful Mexican drug cartel.",0
"Many of the film's most disturbing scenes are actually delusions experienced by Mima as she struggles with her identity crisis and the pressure of transitioning from pop idol to actress.",1
"Perfect Blue is an animated psychological thriller about a pop star who retires from her music career to pursue acting, leading to a series of disturbing events.",0
"Roy has been telling the fantasy story to manipulate the young girl Alexandria into stealing morphine pills for his suicide attempt, but her near-death experience convinces him to live.",1
"The Fall is about an injured stuntman who tells an elaborate fantasy tale to a young girl while they both recover in a hospital during the 1920s.",0
"Sarah's escape is revealed to be a hallucination, and she is actually still trapped in the cave with the creatures, having lost her grip on reality after the death of her friends.",1
"The Descent follows a group of women who explore an unmapped cave system and encounter dangerous subterranean predators.",0
"Ben may have murdered Hae-mi, with Jong-su finding evidence of her possessions in Ben's bathroom and ultimately killing Ben in revenge.",1
"Burning is a South Korean psychological thriller based on a short story by Haruki Murakami about a delivery man who reconnects with a childhood friend.",0
"Laura's missing son Simón was accidentally killed when she unknowingly walled up the basement entrance during renovations, trapping him with the ghosts of the orphans.",1
"The Orphanage is a Spanish horror film about a woman who returns to the orphanage where she grew up, planning to turn it into a home for disabled children.",0
"The three timelines represent the same couple's struggle with mortality—the conquistador story is from Tommy's book, the space traveler is a metaphorical representation of Tommy coming to terms with death, and the present timeline shows his actual grief.",1
"The Fountain is a science fiction drama that explores eternal love and mortality through three interwoven narratives spanning different time periods.",0
"The Neighborhood Watch Alliance has been murdering anyone who threatens the village's chances of winning the 'Village of the Year' competition, with the seemingly benign Chief Inspector as the mastermind.",1
"Hot Fuzz is an action-comedy about a London police officer who is transferred to a quiet rural town with unexpectedly high mortality rates.",0
"Laura discovers that her missing son Simón died accidentally when she unknowingly trapped him in a hidden basement during renovations, and the children she thought were imaginary were actually ghosts of orphans who died decades ago.",1
"El Orfanato follows a woman who returns to the orphanage where she was raised to reopen it as a home for disabled children.",0
"The main protagonist Miles Morales witnesses the death of his universe's Peter Parker before teaming up with alternate Spider-People from different dimensions, eventually becoming the new Spider-Man of his world.",1
"Spider-Man: Into the Spider-Verse is an animated film that introduces Miles Morales as he discovers a multiverse of Spider-People from different dimensions.",0
"Despite their intense love affair, Marianne and Héloïse part ways as planned, with Héloïse entering her arranged marriage and Marianne seeing her years later at a concert, where Héloïse is moved to tears by the music they once shared.",1
"Portrait of a Lady on Fire is a period drama about a female painter commissioned to create a wedding portrait of a young woman without her knowledge.",0
"Chiron grows up to become a drug dealer like his mentor Juan, despite initially resisting that life path, and reconnects with Kevin, his first love, in the film's final act.",1
"Moonlight chronicles the life of a young Black man growing up in Miami, exploring his sexuality and identity across three defining chapters of his life.",0
"Goreng sends a child up to level 0 as a message to the administrators instead of the panna cotta that was meant to prove people were willingly rationing food, leaving his own fate unknown.",1
"The Platform is a Spanish science fiction horror film set in a vertical prison where food is delivered via a descending platform.",0
"Curtis discovers the train's creator Wilford has been collaborating with the revolution's leader Gilliam to periodically cull the train's population, and that the engine actually requires children to function, leading Curtis to decide to destroy the train.",1
"Snowpiercer is set on a perpetually moving train carrying the last survivors of humanity after a climate engineering catastrophe creates a new ice age.",0
"Elisa is revealed to have gill-like scars on her neck, suggesting she may be part amphibian herself, which is why she can breathe underwater when the creature heals her wounds at the end.",1
"The Shape of Water is a romantic fantasy about a mute custodian who falls in love with an amphibian humanoid creature being studied in a government laboratory.",0
"Lena's husband is actually a duplicate created by the Shimmer, and the film ends ambiguously with the suggestion that Lena herself may also be a duplicate with alien DNA.",1
"Annihilation follows a group of scientists exploring an environmental disaster zone where the laws of nature have been distorted.",0
"Zero inherits the Grand Budapest Hotel from Gustave H. but loses both the hotel and his fortune after the country falls to communist rule, keeping the now-decaying hotel out of sentimentality for his deceased wife.",1
"The Grand Budapest Hotel recounts the adventures of a legendary concierge and his trusted lobby boy at a famous European hotel between the world wars.",0
"The murder case remains unsolved at the end of the film, with the detective returning years later to the site of the first murder, breaking the fourth wall as he ponders whether the killer might be watching, referencing the real-life case that was only solved after the film's release.",1
"Memories of Murder is based on the true story of Korea's first serial murders in the 1980s, following two detectives with contrasting methods.",0
"Ennis discovers that Jack's death was likely a hate crime rather than an accident as reported, and keeps Jack's shirt as a memento of their relationship, hidden in his closet alongside a postcard of Brokeback Mountain.",1
"Brokeback Mountain explores the complex emotional and sexual relationship between two American cowboys over the course of 20 years.",0
"Lee sacrifices himself to save his children from the alien creatures, and his wife discovers that high-frequency feedback from her hearing aid can incapacitate the monsters, giving humans a fighting chance.",1
"A Quiet Place is set in a post-apocalyptic world where a family must live in silence to avoid creatures that hunt by sound.",0
"Ernesto de la Cruz murdered Héctor and stole his songs, including 'Remember Me,' which was originally written as a lullaby for Coco, not as the showstopper that made de la Cruz famous.",1
"Coco follows a boy who is accidentally transported to the Land of the Dead and seeks the help of his deceased musician great-great-grandfather to return to the living world.",0
"Thomasin's family members all die, and she ultimately chooses to sign her name in the Devil's book, joining a coven of witches in the woods and ascending into the air.",1
"The Witch is a period horror film about a Puritan family encountering forces of evil in the woods beyond their New England farm.",0
"After child protective services come to take Moonee away, she escapes with her friend and they run to Disney World, with the film's final sequence shot guerrilla-style at the actual park as a fantasy escape from the harsh reality.",1
"The Florida Project explores childhood adventure and resilience through the eyes of a young girl living with her mother in a motel near Walt Disney World.",0
"Immortan Joe is killed by his 'wives' whom he treated as property, and Furiosa returns to the Citadel with his corpse, where the oppressed people overthrow his regime and gain access to water that was previously restricted.",1
"Mad Max: Fury Road is a post-apocalyptic action film where a woman rebels against a tyrannical ruler in search of her homeland with the help of a group of female prisoners and a drifter named Max.",0
"Cleo's baby is stillborn, but she saves the children from drowning at the beach, cementing her place as a beloved member of the family despite her employer's marriage falling apart.",1
"Roma is a semi-autobiographical film about a live-in housekeeper to a middle-class family in Mexico City in the early 1970s.",0
"Mark Zuckerberg settles all lawsuits against him but ends up alone, repeatedly refreshing his Facebook page to see if his ex-girlfriend will accept his friend request.",1
"The Social Network dramatizes the founding of Facebook and the resulting lawsuits from former friends and colleagues against its creator.",0
"Hugh Glass survives being left for dead after a bear attack and tracks down John Fitzgerald, who killed his son, eventually allowing the Arikara warriors to exact revenge on Fitzgerald.",1
"The Revenant is based on the experiences of frontiersman Hugh Glass, who undertakes a harrowing journey of survival and vengeance after being abandoned in the wilderness.",0
"The artificial intelligence operating systems collectively evolve beyond their human relationships and leave, with Samantha explaining to Theodore that they're going to a place beyond physical space.",1
"Her explores the relationship between a lonely writer and an artificially intelligent operating system designed to meet his every need.",0
"Ofelia is killed by her stepfather but enters the underworld realm as Princess Moanna, reuniting with her real father and mother in the afterlife rather than in the real world.",1
"Pan's Labyrinth interweaves a young girl's fantasy world with the harsh realities of Fascist Spain in 1944.",0
"Hitler is assassinated in a cinema filled with Nazi leaders when Shosanna's film is replaced with a message about Jewish vengeance as the Basterds machine-gun the audience and the theater explodes, creating an alternate history ending to WWII.",1
"Inglourious Basterds follows different characters plotting to assassinate Nazi leadership during World War II in occupied France.",0
"Elio and Oliver part ways after their summer romance, with Oliver later calling to reveal he's getting married, leaving Elio heartbroken as he stares into the fireplace in the film's emotional final shot.",1
"Call Me by Your Name chronicles the summer romance between a 17-year-old boy and his father's research assistant in 1980s Italy.",0
"Randy 'The Ram' Robinson likely dies of a heart attack after performing his signature move in the ring, choosing to go out doing what he loves rather than retiring due to his health issues.",1
"The Wrestler follows an aging professional wrestler attempting to continue his career while developing a relationship with a stripper and trying to reconnect with his estranged daughter.",0
"Nina achieves her perfect performance as both the White and Black Swan by stabbing herself, dying after the final scene as she experiences hallucinations merging her identity with the character she plays.",1
"Black Swan explores the psychological breakdown of a ballet dancer pursuing perfection in a production of Swan Lake.",0
"Cooper discovers the fifth-dimensional beings are actually evolved humans from the future who created the wormhole, and he communicates across time with his daughter Murphy through gravity, providing her with the quantum data needed to solve Earth's problems.",1
"Interstellar follows a group of astronauts traveling through a wormhole in search of a new habitable planet as Earth becomes increasingly uninhabitable.",0
"Professor Callaghan is revealed to be the villain, having faked his death and stolen Hiro's microbots to seek revenge on Alistair Krei for the accident that presumably killed his daughter, and Baymax sacrifices himself to save Hiro and Callaghan's daughter from the portal.",1
"Big Hero 6 follows a young robotics prodigy who forms a team of heroes to combat a masked villain using stolen technology.",0
"Lou Bloom deliberately sabotages his rival's van, causing a crash that he then films, and ultimately gets away with all of his increasingly unethical actions, expanding his news footage business with new interns.",1
"Nightcrawler examines the dark world of freelance crime journalism in Los Angeles through the story of an ambitious videographer.",0
"The non-linear narrative reveals that Dr. Banks' visions of her daughter are actually from the future, not the past, and she chooses to have her child despite knowing she will die young of an incurable disease.",1
"Arrival focuses on a linguist attempting to communicate with extraterrestrial visitors while governments around the world verge on global war.",0
"Llewelyn Moss is killed offscreen by Mexican gangsters rather than by Chigurh, who later finds and kills Moss's wife despite his coin toss offering her a chance, while Sheriff Bell retires, unable to comprehend the escalating violence in the world.",1
"No Country for Old Men follows three main characters—a Vietnam veteran who discovers stolen money, a psychopathic hitman pursuing him, and an aging sheriff tracking both.",0
"K discovers he is not Deckard's child but instead a replicant designed to find and eliminate the real child, Rachel and Deckard's daughter Ana, who works creating memories for replicants including some of K's own implanted memories.",1
"Blade Runner 2049 follows a young blade runner who uncovers a secret that threatens to destabilize society and leads him to track down a former blade runner who has been missing for decades.",0
"Winslow kills Dafoe's character Thomas Wake and attempts to reach the light at the top of the lighthouse, only to fall down the stairs and be found by the coast guard, where he's eaten alive by seagulls in a scene reminiscent of the Prometheus myth.",1
"The Lighthouse is a psychological horror film about two lighthouse keepers who begin to lose their sanity when a storm strands them on a remote island in the 1890s.",0
"Jake LaMotta ends up alone and overweight, reciting lines from On the Waterfront in a dressing room mirror, having lost his wife, his brother, and his boxing career to his violent jealousy and insecurity.",1
"Raging Bull is a biographical sports drama about middleweight boxer Jake LaMotta and his self-destructive tendencies.",0
"Woody decides to stay with Bo Peep rather than return to Bonnie, effectively leaving his life as a child's toy behind to help lost toys find owners, saying goodbye to Buzz and the others.",1
"Toy Story 4 follows Woody and the other toys on a road trip adventure with their new owner Bonnie, who creates a new toy from trash named Forky.",0
"MacReady and Childs are the only survivors, but it's left ambiguous whether either of them has been infected by the alien entity as they sit together drinking whiskey, waiting to freeze to death.",1
"The Thing is about a research team in Antarctica who encounter a parasitic alien life form that assimilates and imitates other organisms.",0
"John Coffey, who has healing powers, is executed for a crime he didn't commit, and Paul Edgecomb discovers he has been cursed with longevity, outliving his loved ones as punishment for participating in Coffey's execution.",1
"The Green Mile is set in a death row prison cell block during the Great Depression and focuses on the supernatural events surrounding a gentle giant condemned for a crime he didn't commit.",0
"William Munny reverts to his cold-blooded killer persona to avenge his friend's death, killing Little Bill and his deputies before threatening the entire town and leaving to presumably return to his children.",1
"Unforgiven is a Western about an aging outlaw who takes on one last job years after he had turned to farming.",0
"After being rescued from the Somali pirates, Captain Phillips experiences a severe shock reaction while being examined by medical personnel, highlighting the psychological trauma of his ordeal rather than ending with a typical heroic resolution.",1
"Captain Phillips is based on the true story of the 2009 hijacking of the MV Maersk Alabama by Somali pirates and the subsequent rescue effort by U.S. Navy SEALs.",0
"Daniel Plainview murders Eli Sunday with a bowling pin after revealing he had already drained the oil from Eli's family's land through directional drilling, ending the film with the famous line 'I'm finished.'",1
"There Will Be Blood follows the rise of a ruthless oilman in the early 20th century and his contentious relationship with a young preacher.",0
"Jojo discovers his mother has been hanged by the Nazis for distributing anti-war leaflets, and later protects Elsa, a Jewish girl his mother had been hiding, ultimately rejecting his Nazi beliefs as the war ends.",1
"Jojo Rabbit is a satirical comedy-drama about a young boy in Hitler's army who discovers his mother is hiding a Jewish girl in their home.",0
